分类 (Category),中文描述 (Description),提示词 (Prompt)
头发,双麻花辫,twin braids
头发,双马尾,twintails
头发,麻花辫,braid
头发,光头,bareheaded
头发,刘海,bangs
头发,粉棕色头发,Pink_brown hair
头发,水下，使用于人物，如头发漂浮效果,Underwater portrait
头发,及腰长发,Waist_length_hair
头发,極短頭髮,very short hair
头发,四马尾,quad tails
头发,交叉刘海,crossed bangs
头部,看观众,looking at viewer
头部,面对观众,facing viewer
头部,看着另一个,looking at another
头部,看侧边,looking to the side
头部,不看镜头,looking away
头部,回头看,looking back
头部,往下看,looking down
头部,往上看,looking up
头部,遥望,looking afar
头部,盯着,staring
头部,对视,eye contact
头部,斜视,sideways glance
头部,开嘴,parted lips
头部,开口,open mouth
头部,闭嘴,closed mouth
头部,吐舌,tongue out
头部,舔嘴唇,licking lips
头部,咬紧牙关,clenched teeth
头部,微笑,smile
头部,露齿笑,grin
头部,坏笑,evil smileevil grin
头部,得意笑,smirk
头部,自鸣得意,smug doyagao
头部,幸灾乐祸,troll face 
头部,诱人的微笑,seductive smile 
头部,呼吸,breath
头部,摸头,headpat
头部,哭哭,crying
头部,张眼哭,crying with eyes open
头部,脸贴脸,cheek-to-cheek
头部,角,horn
头部,呼吸急促,heavy breathing
头部,狂气龇牙/坏笑,crazy angry smile，clenched_teeth
头部,额头,forehead
头部,一对角,pair of horns
头部,鹿角,antlers
头部,兽耳,kemomimi
姿势,弓背,arched back
姿势,拉伸,stretching
姿势,躺着,lying on back
姿势,趴着,on stomach
姿势,侧躺,on side
姿势,四肢着地,all fours
姿势,jack-o,jack-o' challenge
姿势,双腿过头,legs over head
姿势,自拍,selfie
姿势,通过腿看,looking through legs
姿势,二郎腿,crossed_legs
姿势,跪姿,kneel
姿势,萝莉坐,kneeling&setting on floot
姿势,坐在地上,sitting on the ground
姿势,一字马,standing split
姿势,手臂在背后 ,arms behind back 
姿势,狗趴式,doggystyle
姿势,泡温泉,half body under water
姿势,趴着翘臀,top-down_bottom-up
姿势,開腳,open your legs wide
姿势,漏腋,armpits
姿势,战斗姿态,fighting_stance
姿势,坐在椅子上,sitting on chair
姿势,瑜伽,yoga
姿势,绝对空域（大腿三角）,thigh gap
姿势,骑马,horse riding
姿势,行走,walk
姿势,躺着,lying
姿势,正骑乘,girl on top
姿势,祈祷,pray
姿势,翘PP,top-down bottom-up
姿势,抱膝,"huddle, clasp knees"
姿势,公主抱,princess carry
姿势,侧躺着,"Lie on your side,"
姿势,抚摸,groping
姿势,撩起衣服,clothes_lift
姿势,盘腿坐,"indian style,"
姿势,动态姿势,dynamic pose
姿势,敬礼,salute
姿势,平趴着,"prostrate, lie flat"
姿势,提裙,Skirt lift
姿势,蹲着,squatting
姿势,坐在车上,sitting on car
姿势,双手抱肩,Put hands around shoulders
姿势,托腮,gill support
姿势,张开腿,spread legs
姿势,掀裙子,skirt_lift
姿势,跨坐,straddling
姿势,舌吻,"French kiss, proper kiss"
姿势,坐在床上,sitting on bed
姿势,弯腰,bent over
姿势,抱胸/遮挡胸部,hug self
姿势,站立,standing
姿势,漂浮,floating
姿势,骑乘,"girl_on_top,straddling"
姿势,鸭子坐,wariza
姿势,踩踏（在......上）,trampling
姿势,胎儿姿势(身体卷缩着),fetal position
姿势,坐在地上(似鸭子坐),w-sitting on the ground
姿势,坐着,sitting
姿势,最有效的开腿(传教士体位),missionary position
姿势,身体前倾,leaning_forward
姿势,叉开着腿坐,figure four sitting
媒体,照片,photo (medium) 
媒体,水彩,watercolor (medium)
媒体,油画 ,oil painting (medium) 
媒体,彩色铅笔,colored pencil (medium) 
媒体,铅笔画,graphite (medium) 
媒体,马克笔,marker (medium)
媒体,签字笔,nib pen (medium)
媒体,原子笔,ballpoint pen (medium)
媒体,丙烯颜料,acrylic paint (medium)
媒体,厚涂,"{photorealistic}, {painting}, {realistic}, {sketch}, {oil painting}"
媒体,水粉,gouache
媒体,湿画法水粉,wet gouache
媒体,工笔画（比起素描感觉更适合ink）,meticulous painting
媒体,禅绕,Zentangle (medium)
媒体,精致的反光和高玻璃护栏板,delicate refective and high glass guardrail board
强化属性,单人,solo
强化属性,两女,2girls
强化属性,三人行,threesome
强化属性,娇小的,petite
强化属性,百合,yuri
强化属性,睡觉,sleeping
强化属性,异性,hetero
强化属性,人鱼,Mermaid
强化属性,机娘,mecha girl
强化属性,女仆,maid
强化属性,修女,nun
强化属性,双子,twins
强化属性,巫女,miko
强化属性,福瑞（兽人）,furry
强化属性,刀，剑,knife and sword
强化属性,Use sword,knife and sword
强化属性,忍者,ninja
强化属性,龙娘,dragon girl
强化属性,细腻的肌肉线条,Delicate muscle lines
强化属性,拟人,gijinka
强化属性,护士,nurse
强化属性,日系兽人/萌系兽人,kemono
强化属性,壮汉,Strong man
强化属性,洛丽塔风格,lolita fashion
强化属性,细腰,slim waist
强化属性,美少女（By 自由夸克）,bishoujo
强化属性,两男,two boys
强化属性,成熟男性,mature male
强化属性,狙击手,profile
强化属性,吸血鬼,vampire
强化属性,魅魔,succubus
强化属性,女巫,witch
强化属性,天使,"angel,"
强化属性,狐娘,fox girl
强化属性,下体突出（男性）,bulge
强化属性,风精灵.希尔芙(精灵尖耳.白或绿发.薄纱蝶翼,Sylph
强化属性,火妖.伊芙利特(不加其他修饰就是火焰恶魔,Ifrit
强化属性,水精灵（肢体偏水化，整体偏蓝）,water sprit
强化属性,马甲线,abdominal muscles
强化属性,机器人,robot
强化属性,马甲线,"linea alba,"
强化属性,牧师,priest
强化属性,巨大化(女),",{{{small city}}},{{{giantess}}},{{{giga size}}},minimap,(((tall)))"
强化属性,公主,princess
强化属性,人形机器人/机器仿生人（安卓）,android
强化属性,miku,(((hatsune miku)))
强化属性,假面骑士,kamen rider
强化属性,黑化,dark_persona
强化属性,吸血鬼,vampire
强化属性,开心的萝莉,solo focus
强化属性,肌肉,muscle
强化属性,水精灵.温蒂尼（肤色偏蓝，鲛人耳朵，大量水元素）,Undine
强化属性,熟女,mature female
强化属性,正太,shota
强化属性,匀称的身材,neat figure
强化属性,苗条的腰,slender waist
强化属性,金刚芭比魔法战士,muscle magician
强化属性,雪妖,"froslass,"
强化属性,魔法师,"enchanter
"
强化属性,油腻的皮肤,shiny skin
强化属性,碧蓝航线（加了就变涩）,azur lane
强化属性,完美的女体(全年龄段),Perfect female body
强化属性,恶魔,demon
强化属性,青少年,teenage
强化属性,日式辣妹,grayu
强化属性,兔娘,bunny girl
强化属性,犬娘（单独使用效果很弱）,dog girl
强化属性,猫娘,cat girl
强化属性,小男孩,Little Boy
强化属性,机械三件套（机械，机甲，金属）,"Machinery, metal, mech"
强化属性,出汗,sweat
强化属性,女神,goddess
强化属性,当你想要一张福瑞图的时候你可能需要输入的词条,"furry,pokemon,no humans"
强化属性,动物化（兽控类）,animalization
强化属性,青春期,adolescent
强化属性,蓝火与剑交织,"blue fire and sword interweave,"
强化属性,金属翅膀,metal wings
强化属性,机械翅膀,mechanical armor wings
强化属性,机器人女孩,robot girl
强化属性,女性军人,female soldier
强化属性,幼女,infant
强化属性,女巨人,giantess
强化属性,精灵,elf
强化属性,处女,virgin
强化属性,少女(By 匿名),young girl
强化属性,天使,angel
强化属性,中式、中国风,Chinese style
强化属性,人偶关节(建议适当提权),doll joints
强化属性,多女,multiple girls
强化属性,美少年,bishounen
强化属性,奶油版光滑的皮肤,the creamy smooth skin
手,伸出双臂,outstretched arms
手,伸出单臂,outstretched arm
手,伸出单手,outstretched hand
手,伸手触及,reaching
手,张开双臂,spread arms
手,殭尸姿势,zombie pose
手,单抬臂,arm up
手,双抬臂,arms up
手,展示腋下,presenting armpit
手,手臂放头后,arms behind head
手,手臂放后面,arms behind back
手,双手叉腰 ,hands on hips
手,手放嘴上,hand to own mouth
手,手放脸上,hand on own face
手,抱自己的腿,hugging own legs
手,手臂支撑,arm support
手,拨头发,hand in own hair
手,双手拨头发,hands in hair
手,调整头发,adjusting hair
手,扎头发 ,tying hair
手,牵手,holding hands
手,手指相扣,interlocked fingers
手,双手相扣,own hands clasped
手,双手相合,own hands together
手,紧握双手,clenched hands
手,张开双手,open hands
手,张开手指 ,spread fingers
手,打手枪手势,handjob gesture
手,雙V手勢,double peace hand
手,用手指做出笑脸,fingersmile
手,手交叉于胸前,arms crossed
手,手镯,Bracelet
手,掰开,hand on cortch
手,隐藏手,hidden hands
手,拿着伞,holding umbrella
手,把手放在口袋里,Put your hands in your pockets
手,托腮,chin
手,精细手指,detail fingers
手,手放在口袋里, hands in pockets
手,“嘘”手势,shushing
手套,手套,gloves 
手套,肘部手套,elbow gloves
手套,猫猫手套,paw gloves
手套,无指手套,fingerless gloves
手套,袖子,sleeves
手套,分离式袖子,detached sleeves
手套,宽袖,wide sleeves
手套,丝带饰边袖子 ,ribbon-trimmed sleeves
手套,无袖,sleeveless
手套,手腕袖口,wrist cuffs
手套,婚礼手套,bridal gauntlets
手套,拳击手套,boxing gloves
手套,乳胶手套,laxet glove
手套,蓬松的大袖子,puffy sleeves
手套,连指手套,mittens
手套,蕾丝边手套,lace-trimmed_gloves
手套,手铐,handcuffs
手套,战术手套,Tactical gloves
手套,短袖,short sleeves
手套,乳胶手套,latex glove
手套,长袖手套,elbow_gloves
手套,长袖,Long sleeve
手套,长手套,long gloves
手套,金属手套,"gauntlets,"
手套,乳胶手套,latex gloves
模板,反向模板:简单,"lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet"
模板,反向模板:手/身体相关,"polar lowres,bad anatomy,bad hands,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit,"
模板,反向模板:多出肢体,"extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands"
模板,反向模板:裁剪/水印,"cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,"
模板,画面光影效果(By 脸滚键盘),"cinematic lighting, volume lighting, bloom effect, light particles"
模板,角色设计,"{diagram}, schematic,,{best quality}, {{{masterpiece}}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},Concept art, character sheet,diagram, reference sheet,balance scale"
模板,黑,"top-down bottom-up,long_hair,black_hair/black_eyes,tongue out,no_bra,thong leotard,highres,mature female,"
模板,星际牛仔风格,"1980s (style),solo,cinematiclighting,ruins,upper body,beautiful，girl，Cowboy Bebop，smile,eye contact,arms behind back,"
模板,白发,"white pantyhose,heart-shaped pupils,drooling,legs apart,white_hair,red_eyes,looking down"
模板,武士,ponytail sword
模板,蘿莉,"ahoge,ponytail,bangs,embarrassed,outstretched hand,looking away,standing,blonde_hair/yellow_eyes,solo,loli,dress,barefoot,"
模板,信浓,"tongue out,"
模板,高质量预设,"best quality, masterpiece, highres, original, extremely detailed wallpaper,an extremely delicate and beautiful"
模板,Gawr_Gura,"one_girl loli ahoge bangs aqua_blue_skirt blunt_bangs blurry blush white_hemmed_short_sleeve flod_spencer long_hair slightly_curly_hair white_hair_with_a_touch_of_blue multicolored_hair gradient_aqua_blue_eyes pleated_skirt no_twintails,shark_tail open_mouth_with_upper_row_of_shark_teeth smile blue_small_hairpin gawr_gura hololive_en pov"
模板,金发修仙者,"masterpiece, best quality,boy,18 years old,white hair,golden eyes,Look firm and resolute,wear hanfu,in an ancient look of China,flying in sky,{cinematic lighting, ray-tracing},{{reflective water}},dynamic pose,{{{{{translucent skin}}}}},bokeh.{{spray}}"
模板,卡尔贝舍夫,1girl，white hair，A dress for a Soviet engineering lieutenant general
模板,崩坏三呆鹅生成器,blue eyes， high ponytail，masterpiece，1girl，logo，golden hair
模板,rrrrr,"masterpiece, best quality, day, full_moon, on the beach, 2girls, mesugaki, "
模板,a13,"straight-on,upper body,foreshortening,simple background,indoors,comic,photo (medium) ,solo,ahoge,long_hair,white_hair,red_eyes,looking at viewer,standing,arms behind back,slim legs,smile,wide-eyed,sailor dress,uwabaki,flat_chest"
模板,掀裙鄙视低视角 by 山河,"clothes lift,shirt lift,No underwear,standing,open mouth,clenched teeth,gloom (expression),shaded,shaded face,disgust,annoyed,looking at viewer,lift up topwear,looking down,perspective from below,"
模板,银发美少女,"straight-on,upper body,nature,game cg,medium hair,silver_hair/silver_eyes,looking at viewer,smile,one eye closed,halter dress ,the petals fall,Point of light,hair ornament,1girl,pantyhose,arms behind back,lace-up boots,close-up, masterpiece,best quality"
模板,okok,"best quality,Amazing,beautiful detailed eyes,{an extremely delicate and beautiful girl},finely detail,Depth of field,{full body},white streaked  hair,red eyes,five fingers,five toes,cold faces,ahoge,wolf ear fluff,white_hair,red_eyes,facing viewer,crossed_legs,"
模板,小u,"ahoge,aquagradient eyes,grey_hair/white_eyes,shota,kneeling&setting on floot,chibi,outstretched arms,fused fingers,from above,on bed,facing viewer,smile,parted bangs,hood,hoodie,sleeves,sleeves,solo,barefoot,"
模板,紫发古风少女,"best quality, best quality,Amazing,extremely detailed CG unity 8k wallpaper,clothes,(((masterpiece))),illustrationfrills， bestquality，detailed eyes，extremely detailed 8k wallpaper,beautiful，Purple hair，golden eyes,wear hanfu,in an ancient look of China"
模板,吸血姬,"wolf ear fluff,ahoge,twintails,white_hair,red_eyes,facing viewer,licking lips,wariza,spread arms,blush,china dress,"
模板,偏幼偏阴柔的美少年（反向词条记加上blush）,"{an extremely delicate and beautiful male child}, {best quality}, teenage, cg 8k wallpaper, master piece, beautiful, detailed eyes"
模板,禁咒起手式(正tag放动作大概率崩),"{best quality},{Highest image quality}, {{masterpiece}}, {highres}, {original},{Delicate background},{extremely detailed 8K wallpaper},cinematic lighting,volume lighting,bloom effect,cinematiclighting,light particles,{Extremely uniform picture},{highly detailed},{huge filesize},ray tracing"
模板,卷毛少女,"{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},solo focus,silhouette,cityscape,extremely detailed CG unity 8k wallpaper,loli,curly_hair,looking away,standing,black_thighhighs,sleepy,heterochromia,pleated skirt,gloves ,ribbon,hair flower,barefoot,facing away,glowing light,"
模板,是某个可爱的机娘吧,"(((masterpiece))), (((best quality))), ((ultra-detailed)), ((extremely detailed CG unity 8k wallpaper)), (1girl:1.9) aqua left eye and green right eye (short blue hair: 1.2) (gradient to green: 1.1) [:(transformed by machinery: 1.8):6] [knee: (robot joints: 1.8):10] [(white pantyhose:1.1):(artificial legs: 1.7) (mechanical legs: 1.4):12] [(white cloth):(artificial torso):10] (short skirt:1.1) white gloves with (white coat:1.2) high-heel shoes"
模板,水墨,"short hairiny eyes, {{{watercolor}}}, soft lighting, beautiful detailed hair, silve hair, wind blows, long hair, red eyes, school uniform, hair bow, masterpiece, best quality
"
模板,麻尤米,"1girl,fox ears,swept bangs,hair_bow,golden hair,long hair,high_ponytail,red eyes,gradient eyes,eyelashes,expressionless,collar,heart necklace,leather clothing,{dark grey leather clothing},white coat,belt,garters,white background,lights,looking at viewer"
模板,ooo,"((best quality)), ((masterpiece)), ((ultra-detailed)), extremely detailed CG, (illustration), ((detailed light)), (an extremely delicate and beautiful), a girl, solo, ((upper body,)), ((cute face)), expressionless, (beautiful detailed eyes), blue dragon eyes, (Vertical pupil:1.2), white hair, shiny hair, colored inner hair, (Dragonwings:1.4), [Armor_dress], blue wings, blue_hair ornament, ice adorns hair, [dragon horn], depth of field, [ice crystal], (snowflake), [loli], [[[[[Jokul]]]]],"
模板,正大,"first-person view,full body,dynamic angle ,starry sky,beach,highres,solo,shota,short_hair,cat_ears,flipped hair,black hair,blue_eyes,tongue out,bent over,spread arms,slim legs,raised eyebrow,fang,aquagradient eyes,hoodie,shorts,socks,sneakers,flat_chest,best quality, masterpiece, highres, original, 1girl, extremely detailed 8K wallpaper, an extremely delicate and beautiful, (summer_festival), fireworks, cinematic lighting, depth of field,"
模板,机娘,"{{{extremly detailed unity 8K CG}}},{{{masterpiece}}},{{{best quality}}} ,{{{detailed face}}}, {{mecha musume}},{{mechanical wings}}, {{mechanical legs}},{{high heels}},{full body} "
模板,香风智乃," kafuu chino,solo,loli,petite,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},looking through legs, blue eyes"
模板,旗袍，吊带袜,"masterpiece, best quality, masterpiece, best quality, masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper, artbook, girl, solo, bishoujo, female, long hair, seductive smile, garter_belt, garter straps,china dress,qipao,cheongsam"
模板,黑丝空姐,"masterpiece, best quality, masterpiece, best quality, masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper, artbook, girl, female, stewardess, gradient hair, colored inner hair, braided ponytail , jitome, :t, miniskirt, pantyhose, thighband pantyhose, stockings,"
模板,中日混合风,"{masterpiece},{best quality},{1girl},Amazing,beautiful detailed eyes,solo,finely detail,Depth of field,extremely detailed CG,original, extremely detailed wallpaper,{{highly detailedskin}},flower,solo,1girl,sky,closed_mouth,hanfu,erhu,suona,hair_flower,looking_at_viewer,bangs,day,kimono,water,cloud,outdoors,hair_ornament,autumn_leaves,long_hair,black_hair,blue_sky,blurry"
模板,1,"portrait of mr who, his time machine is in the background, m, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp, focus, illustration, art by artgerm and greg rutkowski and alphonse mucha "
模板,吸血,"((1 male)),(((masterpiece))), best quality, highly detailed,extremely detailed CG unity 8k wallpaper,illustration, red eyes, short silver hair, pointy ears, vampire, wet, partially submerged,  necklace, hair flower, ocean, snow, ice, full body shot, high close up, highly detailed, center frame, sharp focus, looking at viewer,comic,"
模板,123,"torii,solo,long_hair,white_hair,red_eyes,light smile,tying hair,white_thighhighs,confused,gradient eyes,kimono,tabi,geta,sunlight,"
模板,高质量保底（SD用小括号版）,"(((masterpiece))),(extremely detailed CG unity 8k wallpaper),best quality,Amazing,finely detail,cinematic lighting,close-up,((floating hair)),((Sakura)),outdoors,sky,{{wind}},detailed background,beautiful detailed eyes,bright pupils,((full body)), dynamic pose,dynamic angle,looking at viewer,detailed clothes"
模板,d,"petite,loli,china dress,kneehighs,bridal gauntlets,twintails,payot,long_hair,thigh strap,hair bow,bowtie,earrings,hair ribbon,hair rings,hairclip,hair flower,hair stick,hairband,"
模板,001,"cleavage,bridal gauntlets,white stocking,white_thighhighs,presenting foot,slim legs,legs apart,"
模板,旗袍，吊带妹,"masterpiece, best quality, masterpiece, best quality, masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper, artbook, girl, solo, bishoujo, female, long hair, seductive smile, garter_belt, garter straps,china dress,qipao,cheongsam,"
模板,不知道,"masterpiece, best quality, masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper, night, moon, stars, the top of the hill, game_cg, girl, magical_girl, long hair, gradient hair, ahoge, hairclip, eyelid pull , light blush, leaning forward, school uniform, shoes , thighhighs, "
模板,Ashen,"1girl	0.980
ahoge	0.961
bangs	0.896
blush	0.892
closed_mouth	0.767
eyebrows_visible_through_hair	0.545
hair_between_eyes	0.827
index_finger_raised	0.805
long_hair	0.944
looking_at_viewer	0.828
purple_background	0.994
purple_eyes	0.989
simple_background	0.531
smile	0.947
solo	0.915"
模板,six,"miniskirt,on stomach,outstretched arms,pigeon-toed,embarrassed,half-closed eyes"
模板,白衣机娘,"1girl, full body, cyberpunk, {armor}, long white hair, golden eyes, blush, {robot joints}, {bodystocking}, {{circlet}}, white plugsuit, on bed, spread legs, looking at viewer"
模板,??,"best quality,Amazing,beautiful detailed eyes,{an extremely delicate and beautiful girl},finely detail,Depth of field,{full body},white streaked  hair,red eyes,five fingers,five toes,cold faces,cinematic angle,full body,simple background,field,comic,angel,drill_hair,blonde_hair/yellow_eyes,standing,"
模板,棘刺,"1boy,solo,{{short ponytailr}},{{black hair}},blonde eyes,  dark-skinned male,necklace,white gloves,earrings,arknights,"
模板,打包,"full body,solo focus,sunburst background,card games,artbook,intricate detail,black_hair/black_eyes,looking away,looking up,sideways glance,closed mouth,clenched teeth,standing,outstretched hand,legs apart,serious,fingerless gloves,ribbon,Samurai Sword,"
模板,hh,"cinematic angle,full body,lawn,anime screencap,infant,very_long_hair,green_hair/green_eyes,tongue out,standing,hair flower,"
模板,迪蒙,"Chinese style,Large Shield,male,Black long hair,Black eyes,Determination"
模板,White JK,"anime,long hair,dark hair,blue eyes,earphones,school uniform "
模板,有那么一点本体风格的少女,"1girl, black long hair, brown eyes, {{white chinese clothes}}, detached wide sleeves, trench , {white pants}, {{black knee boots}}, fantasy, full body, white background, arms behind back, {21 years old}"
模板,01自用,"{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},Perfect female body,mature female,official art,full body,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},,masterpiece,looking at viewer,beautiful detailed sky,cinematiclighting,white background,gilt border,"
模板,花中少女（结尾有种子）," masterpiece, {best quality}, {{masterpiece}}, {highres}, (((flowers))),original, extremely detailed wallpaper, 1girl,{an extremely delicate and beautiful},white_hair,short_hair,blue eyes,((lying)),cropped shoulders,expressionless,solo,petite,loli,white flower hair ornament,white flower and grass background,gold dress,small chest,collarbone,hand on hair    seed:1255526189,steps:40,scale:12"
模板,失去主人,"incredibly_absurdres,perspective,backlight,messy_hair,short_hair,hair over one eye,black hair,clenched teeth,looking away,crying with eyes open,squatting,sad,fang,sportswear,no shoes,bell,collar,mutilated,morbid,disfigured,dramatic angle ,cityscape,poster,Vaporwave,"
模板,?,"{best quality}, {{masterpiece}}, {highres},original,extremely detailed 8K wallpaper,1girl,{an extremely delicate and beautiful},nahida,(loli),((platinum white short_hair)),((short side ponytail)),(elf),(Large area of green Pick dyeing),(crystal green_hair),arms behind back,genshin,"
模板,大肚子,"{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},,blunt_bangs,blue_eyes,black hair,sheer tulle dress,garter straps garter belt,Xiao Qingyi Single ponytail cheongsam black,Pregnancy, cross-part tattoos, lewd tattoos"
模板,巨大化(大超萌),"cityscape,{{{full body}}},{{{black_thighhighs}}},adorable girl,{{{small city}}},{{{giantess}}},{{{giga size}}},no shoes,minimap,{{{long leg}}},((({{{standing in the city}}}))),{{from below}}},{{{{thin legs}}}},beautiful detailed sky,girl standing in the city,beautiful detailed sky,extremely detailed,nfsw,{{{1000 meters tall}}},{{{city destoy}}},{{{open eyes wide}}},highresbuilding,city,destruction,size difference,outdoors,crushing,skyscraper,building ruins,road,giant,"
模板,1,"masterpiece, best quality,day,comic,2girls,yuri,blonde hair,silver hair,high ponytail,long hair,naughty_face,heart in eye,eye_contact,garter straps,hair_ribbon,crotch_rub"
模板,novelai用高質量模板,"(best quality), ((masterpiece)), (highres), original, extremely detailed 8K wallpaper, 1girl, (an extremely delicate and beautiful),"
模板,高叉紧身衣通用,"{{masterpiece}},best quality,extremely detailed CG unity 8k wallpaper,{extremely detailed cg}, 1girl,highleg leotard,elbow_gloves,(((masterpiece))),(((best quality))),((ultra-detailed))((extremely detailed CG)),((8k_wallpaper))((an extremely delicate and beautiful)),{photorealistic},, {realistic},burning,detailed light,bloom,"
模板,21," best quality, masterpiece, highres, original, 1girl, extremely detailed 8K wallpaper, an extremely delicate and beautiful, (summer_festival), fireworks, cinematic lighting, depth of field,"
模板,狗耳花边短裙,"masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper,brown hair, brown eyes, hair_bun,short hair,{bulldog ears},floppy ears,brown theme coat,{{{{grey low skirt}}}},{{{red first aid kit shoulder bag}}},full body,{{white thighhighs}},{{brown white canvas shoes}},{{{brown tail}}}, {{{{{white tip of tail}}}}},{{{grey theme lace miniskirt}}}"
模板,114514,"short_hair,blunt_bangs,white_hair/pink_eyes,two-tone hair,gradient hair,a girl in a white dress sitting on a chair in front of a cityscape at night with her legs crossed, by Masaaki Sasamoto,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},red-eyeshadow,lipstick，closed mouth,pink_hair，looking afar,bob cut，detached sleeves,"
模板,男生,"masterpiece,best quality,highly detailed,1boy,animated_gif,light,glasses,bust,Chinese,lolita_fashion,shota,o_o,v"
模板,65,"short_hair,blunt_bangs,white_hair/pink_eyes,two-tone hair,gradient hair,a girl in a white dress sitting on a chair in front of a cityscape at night with her legs crossed, by Masaaki Sasamoto,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},red-eyeshadow,lipstick，closed mouth,pink_hair，looking afar,bob cut，detached sleeves,"
模板,demo,"white_hair, pink hair, loli, school uniform, long hair, glasses, hair ribbon, white stocking, at school,"
模板,元素法典起手式,"((masterpiece)), (((best quality))), ((ultra-detailed)), ((illustration)), ((disheveled hair))"
模板,高质量保底,"{{{masterpiece}}},{extremely detailed CG unity 8k wallpaper},best quality,Amazing,finely detail,solo,cinematic lighting,close-up,{{floating hair}},outdoors,sky,{{wind}},detailed background,beautiful detailed eyes,,bright pupils,{{full body}}, dynamic pose,dynamic angle,looking at viewer,detailed clothes,"
模板,萝莉酱,"pov crotch,masterpiece, best quality, masterpiece, best quality, masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper, artbook, girl, solo, bishoujo, female, long hair, seductive smile, garter_belt, garter straps,china dress,qipao,cheongsam,loli,cat_ears,beautiful detailed eyes,blush,"
模板,紫毛双马尾,"pov,on bed,anime screencap,solo,twintails,red_eyes,kneel,looking at viewer,open mouth,arms behind back,drunk,business suit,sheath dress,black pantyhose,purple hair,tie,"
模板,起手咒语,"{{masterpiece}},{best quality},{solo},highres,extremely detailed CG wallpaper,extremely detailed figure,Amazing"
模板,好耶,"white_hair/blonde_eyes,wolf ear fluff,slit pupils,slit pupils,wind coat,pants,tail insertion,cross necklace,headphone,Samurai Sword,"
模板,战术,"military_uniform,bulletproof_vest,,trench_coat,basement,highres,looking at viewer,fighting_stance,expressionless,hair over one eye one eye covered,fingerless gloves,firearms,FLIGHT Goggles,naval cap,tiny tits,"
模板,粉毛狐狸loli,"petite, fox,fox Tail,1girl, solo, pink hair, very long hair,white cheongsam,happy"
模板,saber（FATE）,"(((masterpiece))),(((best quality))),((ultra-detailed))((extremely detailed CG)),((8k_wallpaper))((an extremely delicate and beautiful)),dynamic angle,floating, (beautiful detailed eyes),an extremely delicate and beautiful girl,(Altria Pendragon(Fate/stay night)),golden hair,ahoge, sword,armour，illustrationfrills， bestquality，highres"
模板,一位男生,"solo focus,full body,starry sky,clusters of stars,space,monochrome,photo (medium) ,mature male,bangs,white_hair/blonde_eyes,looking to the side,standing,arm support,crossed legs,expressionless,beautiful detailed eyes,school uniform,denim shorts,sneakers,umbrella,glasses,chest,beautiful detailed sky,"
模板,哥特萝莉,"extremely detailed CG unity 8k wallpaper, masterpiece,landscapescenery,highres,background detailed,1 girl,silver_hair,loli,aqua_eyes,heterochromiagothic,lolita_fashion,hair_ribbon,lace,Gothic Cathedral,Colored glass window,starry sky,Feather,glass dome,chandelier,Candlestick"
模板,啊吧啊吧,"cinematic angle,ray tracing,backlight,building architecture,Loong, dragon background, loong background,ballpoint pen (medium),Chinese style,wolf ear fluff,blonde hair,shiny hair,messy hair,blonde_hair/yellow_eyes,clenched teeth,grin,crossed_legs,zombie pose,slim legs,gold trim,best quality, masterpiece, highres, original, 1girl, extremely detailed 8K wallpaper, an extremely delicate and beautiful, (summer_festival), fireworks, cinematic lighting, depth of field,girls' frontline,"
